,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
0,-22.76,71.9667,102.5,98,3.65,39,RU,1637192390,khatanga
1,69.87,-24.8667,113.6333,64,11.5,75,AU,1637192390,carnarvon
2,59.92,-33.9258,18.4232,58,17.27,40,ZA,1637192200,cape town
3,76.37,-20.0064,57.6608,70,4.0,13,MU,1637192391,grand gaube
4,59.29,-33.918,25.5701,94,16.11,90,ZA,1637192290,port elizabeth
5,63.12,-33.5906,26.891,83,20.83,53,ZA,1637192391,port alfred
6,57.92,-46.2817,169.8464,61,4.88,28,NZ,1637192391,kaitangata
7,75.97,-3.8004,102.2655,89,4.59,83,ID,1637192391,bengkulu
8,85.42,-9.4431,147.1797,74,8.05,40,PG,1637192392,port moresby
9,18.91,57.79,-152.4072,58,21.85,90,US,1637192392,kodiak
10,39.24,67.0953,15.3878,86,9.51,73,NO,1637192392,rognan
11,35.78,59.7035,30.7861,93,8.77,100,RU,1637192392,nikolskoye
12,17.02,53.45,108.9833,76,2.26,33,RU,1637192393,ust-barguzin
13,58.05,-33.65,115.3333,83,15.21,100,AU,1637192393,busselton
14,61.18,33.194,-82.5271,65,6.4,0,US,1637192393,avera
15,65.35,-33.0153,27.9116,62,27.69,82,ZA,1637192394,east london
16,55.58,-46.6,168.3333,63,18.72,29,NZ,1637192394,bluff
17,80.06,10.5669,72.642,83,11.74,77,IN,1637192394,kavaratti
18,16.93,62.456,-114.3525,100,13.8,90,CA,1637192394,yellowknife
19,71.56,-25.1667,45.05,72,4.21,3,MG,1637192395,beloha
20,4.35,56.6709,124.6491,97,4.81,100,RU,1637192395,neryungri
21,58.26,-42.7826,147.0587,57,3.49,100,AU,1637192395,new norfolk
22,35.71,69.4719,25.5112,99,5.68,100,NO,1637192396,karasjok
23,35.26,-54.8,-68.3,93,20.71,40,AR,1637192365,ushuaia
24,61.56,-12.9067,15.2533,95,0.49,78,AO,1637192396,longonjo
25,49.8,-34.4187,19.2345,66,9.33,61,ZA,1637192396,hermanus
26,52.75,-33.6971,-53.4616,72,6.06,0,UY,1637192396,chuy
27,39.27,37.9281,102.6414,23,7.38,44,CN,1637192397,wuwei
28,56.08,-42.8794,147.3294,74,1.99,75,AU,1637192397,hobart
29,76.23,-23.865,35.3833,87,13.31,2,MZ,1637192397,inhambane
30,14.11,64.3833,-173.3,67,15.66,90,RU,1637192398,provideniya
31,44.71,-53.15,-70.9167,53,33.38,40,CL,1637192398,punta arenas
32,71.98,-11.1753,-61.9014,96,0.98,100,BR,1637192398,presidente medici
33,49.28,-34.5322,20.0403,74,4.9,57,ZA,1637192399,bredasdorp
34,30.36,65.6145,-37.6368,69,5.95,100,GL,1637192399,tasiilaq
35,80.76,-21.2,-175.2,78,10.36,20,TO,1637192399,vaini
36,63.27,-30.1811,-50.2056,80,7.25,100,BR,1637192400,cidreira
37,82.53,20.8947,-156.47,82,14.97,20,US,1637192400,kahului
38,45.0,33.0728,107.0303,85,0.63,0,CN,1637192401,hanzhong
39,6.82,71.2906,-156.7887,78,6.91,40,US,1637192102,barrow
40,84.6,21.3069,-157.8583,69,11.5,40,US,1637191745,honolulu
41,49.39,40.9833,25.4167,71,4.41,48,GR,1637192402,xilagani
42,19.44,50.677,36.5532,100,4.47,36,RU,1637192402,severnyy
43,48.67,34.7381,111.8839,61,0.54,0,CN,1637192402,yima
44,51.64,51.0333,-4.2167,79,9.17,96,GB,1637192403,northam
45,26.15,45.3167,55.2,64,6.85,1,KZ,1637192403,beyneu
46,24.96,55.7435,-97.8558,86,17.27,90,CA,1637192403,thompson
47,73.35,-23.1203,-134.9692,64,15.9,0,PF,1637192404,rikitea
48,-2.94,69.3833,178.4167,91,9.8,7,RU,1637192404,leningradskiy
49,72.61,-21.3585,55.7679,75,10.83,55,RE,1637192404,saint-philippe
50,64.72,-11.0964,-77.6139,80,9.82,92,PE,1637192405,hualmay
51,76.21,-2.7906,-49.6717,84,2.37,59,BR,1637192405,baiao
52,0.18,72.7868,-56.1549,75,3.53,51,GL,1637192405,upernavik
53,77.85,1.4451,125.1824,76,1.34,100,ID,1637192406,bitung
54,19.44,55.0667,-117.2859,86,13.8,100,CA,1637192406,valleyview
55,-1.97,58.9564,126.2925,99,0.98,100,RU,1637192407,tommot
56,82.65,22.0752,-159.319,72,1.01,20,US,1637192407,kapaa
57,75.24,15.85,-85.2333,91,6.02,74,HN,1637192407,cusuna
58,76.96,5.4112,100.3354,94,5.01,40,MY,1637192178,georgetown
